SMILES,human,rat,mouse,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Oc1cc(Nc2cc(nn2C(C)(C)C)c2cc(F)ccc2C)c(c(c1)O)C(=O)N1Cc2c(C1)cccc2,0,-1,0,500.56,37,23,0.24,6,5,3,146.09,90.62,3.77,5.49,5.8,3.74,4.62,4.68,-6.47,0.000171,3.42E-07,Poorly soluble,-7.15,3.53E-05,7.06E-08,Poorly soluble,-8.4,2.01E-06,4.01E-09,Poorly soluble,High,No,Yes,No,Yes,No,Yes,No,-5.46,1,3,0,0,1,0.55,0,0,2,3.91
O=c1ccc(c[nH]1)CN1CCN(CC1)C1CCC(CC1)(O)c1cccc(c1)C(F)(F)F,0,-1,-1,435.48,31,12,0.52,5,7,2,120.03,59.57,3.58,2.22,3.47,2.88,4.25,3.28,-3.9,0.0555,0.000127,Soluble,-3.11,0.341,0.000784,Soluble,-6.26,0.000238,5.47E-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,No,-7.38,0,0,0,0,0,0.55,0,0,1,3.84
Cc1ccc2c(n1)nc([nH]2)NC1CCN(CC1)CCc1ccc(cc1)c1noc(n1)C(F)(F)F,-1,-1,1,471.48,34,20,0.39,7,9,2,124.48,95.76,3.04,4.82,5.03,3.32,4.38,4.12,-5.77,0.000795,1.69E-06,Moderately soluble,-6.56,0.000129,2.73E-07,Poorly soluble,-8.52,1.41E-06,3.00E-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.75,0,0,0,0,0,0.55,0,0,2,3.51
NC1CCN(CC1)C(=O)C[C@@H]1CCC[C@]2(C1)OOC1(O2)C2CC3CC1CC(C2)C3,-1,1,1,404.54,29,0,0.96,3,5,1,113.04,74.02,3.66,2.72,2.96,3.24,2.04,2.92,-3.86,0.0554,0.000137,Soluble,-3.93,0.0477,0.000118,Soluble,-2.76,0.7,0.00173,Soluble,High,Yes,No,No,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,1,1,7.28
CCOP(=O)(C1=C[C@H]([C@@H]([C@H](C1)N=C(N)N)NC(=O)C)OC(CC)CC)O,-1,0,1,390.41,26,0,0.75,10,6,4,100.53,159.07,1.71,-0.81,1.22,-0.2,-0.51,0.28,-1.09,31.7,0.0812,Very soluble,-2.05,3.47,0.00889,Soluble,-1.65,8.76,0.0224,Soluble,Low,No,Yes,No,No,No,No,No,-9.26,0,0,1,1,1,0.55,0,3,2,5.72
Cc1ccc(cc1)C1CC(C1)N(C1CCOCC1)Cc1ccc(c(c1)Cl)Br,-1,0,-1,448.82,27,12,0.48,5,2,0,116.59,12.47,4.38,6.15,6.19,5.18,6.15,5.61,-6.5,0.000143,3.19E-07,Poorly soluble,-6.19,0.000287,6.38E-07,Poorly soluble,-7.93,5.24E-06,1.17E-08,Poorly soluble,Low,No,Yes,No,No,No,Yes,No,-4.67,1,1,0,1,1,0.55,0,0,2,3.5
Fc1ccc(cc1)CNC(=O)c1ccc(nn1)N1CCN(CC1)S(=O)(=O)c1cccnc1C1CC1,-1,-1,0,496.56,35,18,0.33,8,8,1,133.8,116.77,3.5,1.63,2.85,1.76,2.08,2.36,-3.8,0.079,0.000159,Soluble,-3.69,0.1,0.000202,Soluble,-7.13,3.67E-05,7.40E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-8.17,0,2,0,0,0,0.55,0,0,2,3.71
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@@H](c1[nH]c2cn1)N1CCC(NC1=O)c1cccc(c1)Cl,1,0,-1,549.02,39,17,0.29,5,5,4,159.39,128.45,3.21,3.05,3.61,2.4,2.62,2.98,-5.16,0.00382,6.95E-06,Moderately soluble,-5.41,0.00212,3.86E-06,Moderately soluble,-8.12,4.16E-06,7.59E-09,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-7.48,1,2,0,0,0,0.55,0,1,1,5.78
NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)N)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,-1,1,-1,869.1,63,16,0.56,24,10,6,246.77,227.94,5.02,5.98,3.39,1.15,5.08,4.12,-7.6,2.18E-05,2.51E-08,Poorly soluble,-10.54,2.49E-08,2.86E-11,Insoluble,-9.88,1.15E-07,1.32E-10,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.36,3,3,2,1,5,0.17,0,0,3,7.63
COc1cccc2c1n(CC1CCCCC1)cc2C(=O)N1CCN2[C@@H](C1)CCCC2,-1,-1,0,409.56,30,9,0.64,5,3,0,129.66,37.71,4.4,4.46,3.78,3.19,3.4,3.85,-5.08,0.0034,8.30E-06,Moderately soluble,-4.97,0.00438,1.07E-05,Moderately soluble,-4.95,0.00461,1.12E-05,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-5.63,0,0,0,0,0,0.55,0,0,2,3.97
O=C(N1CCCC1)NCCc1scc(n1)c1ccccc1,0,0,0,301.41,21,11,0.38,6,2,1,89.45,73.47,3,2.97,2.78,1.97,3.77,2.9,-3.57,0.0809,0.000268,Soluble,-4.18,0.0201,6.67E-05,Moderately soluble,-5.05,0.00266,8.81E-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.03,0,0,0,0,0,0.55,0,0,0,2.92
FC(Oc1cccc(c1)CN1C(=O)CN(C[C@@H]1Cc1ccccc1)C(=O)c1cc2c([nH]1)ccc(c2)C1CC1)F,1,-1,-1,529.58,39,21,0.29,9,5,1,152.27,65.64,3.81,6.49,5.61,3.63,5.99,5.11,-7.02,5.10E-05,9.63E-08,Poorly soluble,-7.66,1.15E-05,2.17E-08,Poorly soluble,-9.25,2.98E-07,5.62E-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-4.92,1,3,0,0,1,0.55,0,0,3,3.82
O=C(c1cnc(s1)c1ccccn1)Nc1cnn(c1)C(c1ccc(cc1C(F)(F)F)C(F)(F)F)C,-1,1,1,511.44,35,22,0.18,8,10,1,115.9,100.94,3.27,4.82,8.41,3.01,5.92,5.09,-5.98,0.00053,1.04E-06,Moderately soluble,-6.67,0.000109,2.12E-07,Poorly soluble,-8.5,1.61E-06,3.14E-09,Poorly soluble,Low,No,Yes,Yes,No,Yes,Yes,Yes,-6,1,2,0,1,0,0.55,0,0,3,4.08
CC#CCn1c(nc2c1c(=O)n(nc2)Cc1nc(C)c2c(n1)cccc2)N1CCC[C@H](C1)N,1,-1,-1,442.52,33,19,0.38,4,6,1,131.6,107.75,3.75,1.99,1.54,2.02,1.93,2.25,-4,0.0443,0.0001,Soluble,-3.88,0.0585,0.000132,Soluble,-5.55,0.00123,2.79E-06,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.59,0,1,0,0,0,0.55,0,1,1,4.31
CCC(C1(CCCCC1)c1ccc(c(c1)Cl)Cl)N,1,-1,1,286.24,18,6,0.6,3,1,1,80.36,26.02,3.34,5.37,4.93,4.49,5.03,4.63,-5.05,0.00257,8.99E-06,Moderately soluble,-5.67,0.000612,2.14E-06,Moderately soluble,-5.76,0.000496,1.73E-06,Moderately soluble,High,Yes,No,No,No,Yes,Yes,No,-4.23,1,0,0,0,2,0.55,0,0,1,2.55
Fc1ccc(cc1)[Se]C(c1ccc(cc1F)F)Cn1cncc1,-1,-1,0,381.25,23,17,0.12,5,4,0,83.43,17.82,0,3.66,4.33,4.14,3.67,3.16,-4.73,0.00716,1.88E-05,Moderately soluble,-3.72,0.0721,0.000189,Soluble,-6.95,4.33E-05,1.14E-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.03,0,0,0,0,0,0.55,0,1,2,3.58
COc1cc(ccc1Nc1ncc(c(n1)Nc1ccc2c(c1)B(O)OC2)Cl)N1CCC(CC1)N(C)C,1,-1,1,508.81,36,18,0.36,7,6,3,147.18,95.01,0,4.28,2.84,1.87,1.05,2.01,-5.6,0.00128,2.52E-06,Moderately soluble,-5.99,0.000523,1.03E-06,Moderately soluble,-7.43,1.89E-05,3.72E-08,Poorly soluble,High,No,Yes,No,Yes,No,Yes,Yes,-6.36,1,2,0,0,0,0.55,0,1,2,4.21
COc1cc2c3ncc(cc3n(c2cc1C(O)(C)C)[C@H](c1ccccc1)C1CCOCC1)c1c(C)nnn1C,-1,0,1,525.64,39,24,0.39,6,6,1,153.35,87.22,3.95,4.09,5.44,2.94,4.89,4.26,-5.74,0.000967,1.84E-06,Moderately soluble,-5.63,0.00124,2.36E-06,Moderately soluble,-8.32,2.49E-06,4.74E-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.6,1,3,0,0,0,0.55,0,0,2,4.66
O=c1cc(C)c2c(o1)c1c(cc2)OC([C@@H]([C@@H]1OC(=O)C12CCC(C2(C)C)(C(=O)O1)C)OC(=O)C12CCC(C2(C)C)(C(=O)O1)C)(C)C,1,-1,-1,636.69,46,10,0.63,6,11,0,163.11,144.64,4.16,4.98,4.69,3.44,6.57,4.77,-6.69,0.00013,2.04E-07,Poorly soluble,-7.76,1.12E-05,1.75E-08,Poorly soluble,-8.73,1.18E-06,1.86E-09,Poorly soluble,Low,No,Yes,No,No,Yes,No,No,-6.65,2,3,1,1,2,0.17,0,2,2,7.58
CCCN1CCOCCc2cccc(c2)C[C@H](NC(=O)c2cc(C1=O)ccc2)[C@@H](CNC(c1cccc(c1)OC)(C)C)O,0,-1,0,587.75,43,18,0.43,8,6,3,176.49,100.13,4.31,4.47,3.48,2.74,5.15,4.03,-6.08,0.000487,8.28E-07,Poorly soluble,-6.29,0.0003,5.10E-07,Poorly soluble,-10.12,4.43E-08,7.53E-11,Insoluble,High,No,Yes,No,No,No,No,Yes,-6.71,1,3,0,0,0,0.55,0,0,3,6.48
O=C(c1ccc(c(c1)[N+](=O)[O-])N1CCNCC1)Nc1cncc(c1)c1nc2c(o1)cccc2,-1,-1,1,444.44,33,21,0.17,6,7,2,131.63,129.11,2.74,2.49,2.51,0.8,0.85,1.88,-4.24,0.0256,5.77E-05,Moderately soluble,-4.85,0.00633,1.42E-05,Moderately soluble,-7.33,2.06E-05,4.63E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.24,0,1,0,0,0,0.55,0,2,1,3.74
COc1ccc(cc1)/C=C/1\Oc2c(C1=O)ccc(c2)OCCN1CCCCC1,-1,0,-1,379.45,28,12,0.35,6,5,0,112.34,48,4.07,4.42,3.69,2.21,4.65,3.81,-4.9,0.0048,1.26E-05,Moderately soluble,-5.15,0.00271,7.15E-06,Moderately soluble,-6.47,0.00013,3.42E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.48,0,0,0,0,0,0.55,0,1,2,3.45
CC(Cc1nc2c(n1Cc1cc(=O)[nH]c3c1cccc3F)nccn2)C,-1,-1,0,351.38,26,19,0.26,4,5,1,98.54,76.46,2.49,2.25,3.47,2.26,4.18,2.93,-3.71,0.0681,0.000194,Soluble,-3.49,0.113,0.000322,Soluble,-6.94,4.03E-05,1.15E-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.85,0,0,0,0,0,0.55,0,0,1,2.84
CCOc1ccc(cc1c1cn(C)c(=O)c2c1cc(cc2)c1cnn(c1)C)S(=O)(=O)C,-1,-1,0,437.51,31,21,0.22,5,5,0,121.78,91.57,3.12,2.21,4.49,2.6,3.33,3.15,-4.12,0.0335,7.65E-05,Moderately soluble,-3.77,0.0747,0.000171,Soluble,-7.34,2.02E-05,4.61E-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-7.4,0,0,0,0,0,0.55,0,0,1,3.41
OCc1ccc(c(c1)NS(=O)(=O)c1ccc(cc1)c1ccc(cc1F)F)O,1,-1,-1,391.39,27,18,0.05,5,6,3,97.06,95.01,2.45,3.03,5.21,3.07,3.34,3.42,-4.34,0.0179,4.58E-05,Moderately soluble,-4.69,0.00798,2.04E-05,Moderately soluble,-7.15,2.76E-05,7.06E-08,Poorly soluble,High,No,No,No,No,Yes,Yes,Yes,-6.54,0,0,0,0,0,0.55,0,1,1,2.87
COc1cc2[nH]c3cc(ccc3c(=O)c2cc1Cl)Nc1ccc(cc1)CN1CCOCC1,0,-1,0,449.93,32,20,0.24,5,4,2,133.1,66.59,3.81,4.58,4.39,2.53,5.29,4.12,-5.65,0.00101,2.25E-06,Moderately soluble,-5.7,0.000893,1.98E-06,Moderately soluble,-9.06,3.90E-07,8.67E-10,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.79,0,1,0,0,0,0.55,0,1,2,3.02
Fc1cc(F)cc(c1)N1CC2(C1)CN(CC2CNc1ccc(cc1)F)C(=O)C(c1ccc(c(c1)C(F)(F)F)O)(F)F,-1,0,0,585.49,41,18,0.32,8,10,2,139.95,55.81,3.96,6.31,8.19,5.06,6.17,5.94,-7.24,3.35E-05,5.73E-08,Poorly soluble,-7.27,3.14E-05,5.36E-08,Poorly soluble,-9.4,2.33E-07,3.97E-10,Poorly soluble,Low,No,Yes,Yes,No,No,Yes,Yes,-5.39,2,3,0,1,1,0.17,0,0,3,4.29
CCCO[C@@H]1O[C@H](CNC(=O)c2ccc(cc2)S(=O)(=O)N)[C@H]([C@@H]([C@@H]1O)O)O,-1,-1,1,404.44,27,6,0.56,8,9,5,92.43,176.79,0.42,-1.44,-0.62,-1.82,-1.67,-1.03,-1.08,33.9,0.0838,Very soluble,-1.77,6.88,0.017,Very soluble,-1.48,13.5,0.0334,Soluble,Low,No,No,No,No,No,No,No,-9.79,0,1,1,1,1,0.55,0,0,2,4.45
COc1cnc(c2c1ccc(c2)Cl)O[C@@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)OC(C)(C)C)C(=O)N[C@@]1(C[C@H]1C1CC1)C(=O)NS(=O)(=O)C1CC1,1,-1,-1,762.31,52,10,0.64,18,10,3,197.73,190.71,3.38,5.4,4.65,1.61,3.44,3.7,-6.92,9.11E-05,1.19E-07,Poorly soluble,-9.16,5.28E-07,6.92E-10,Poorly soluble,-7.5,2.40E-05,3.15E-08,Poorly soluble,Low,No,Yes,No,No,Yes,No,Yes,-7.12,2,3,2,1,4,0.17,0,0,3,6.57
COc1ccc(c(c1)OC)c1scc(n1)c1ccc(cc1)C#N,0,1,0,322.38,23,17,0.11,4,4,0,90.69,83.38,3.37,3.94,4.37,1.81,5.24,3.75,-4.6,0.00803,2.49E-05,Moderately soluble,-5.39,0.00131,4.07E-06,Moderately soluble,-6.65,7.25E-05,2.25E-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.47,0,0,0,0,0,0.55,0,0,1,3.04
Fc1ccc(cc1)C(NC(=O)n1c(=O)n(c2c1cccc2)CCN1CCOCC1)C,0,0,-1,412.46,30,15,0.36,7,5,1,115.99,68.5,4.17,2.75,2.31,3.04,2.36,2.93,-4.04,0.0378,9.17E-05,Moderately soluble,-3.84,0.0592,0.000143,Soluble,-5.31,0.00204,4.94E-06,Moderately soluble,High,Yes,No,No,No,Yes,Yes,Yes,-6.86,0,0,0,0,0,0.55,0,0,1,3.74
CN1CCN(CC1)c1cc(CN2CCC[C@H]2c2ncccc2C)nc(n1)C,0,0,-1,366.5,27,12,0.57,4,5,0,119.4,48.39,3.43,2.09,0.96,1.4,2.64,2.1,-3.49,0.118,0.000321,Soluble,-2.74,0.673,0.00184,Soluble,-5.31,0.0018,4.91E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,0,0,1,3.75
Fc1ccc(cc1Cl)Cc1nn(c2c1c(N)ncn2)C(C)(C)C,-1,0,0,333.79,23,15,0.31,3,4,1,89.71,69.62,2.99,3.41,3.98,3.54,3.33,3.45,-4.34,0.0152,4.55E-05,Moderately soluble,-4.55,0.00937,2.81E-05,Moderately soluble,-5.98,0.00035,1.05E-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,No,No,-5.92,0,0,0,0,0,0.55,0,0,0,2.83
COCCCNc1nnc(o1)c1ccc(c(c1Nc1ccc(cc1F)I)F)F,1,-1,-1,504.24,28,17,0.22,8,7,2,106.68,72.21,3.31,4.43,6.02,4.41,5.18,4.67,-5.68,0.00106,2.10E-06,Moderately soluble,-5.66,0.00109,2.16E-06,Moderately soluble,-8.95,5.64E-07,1.12E-09,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.23,2,2,0,1,0,0.17,0,1,3,3.73
N#Cc1cc(cc(c1)c1onc(n1)c1ccc2c(c1)c1CCC(c1[nH]2)CC(=O)O)OC(F)(F)F,-1,0,0,468.38,34,20,0.22,6,10,2,112.44,125.03,3.39,4.47,6.42,2.09,5.02,4.28,-5.6,0.00118,2.52E-06,Moderately soluble,-6.82,7.17E-05,1.53E-07,Poorly soluble,-7.73,8.64E-06,1.85E-08,Poorly soluble,Low,No,Yes,Yes,No,Yes,No,Yes,-5.98,0,1,0,1,0,0.56,0,0,2,3.87
Fc1cc(ccc1N1CCOCC1)C1ON=C(C1)c1ccc(o1)[N+](=O)[O-],-1,-1,1,361.32,26,11,0.35,4,7,0,98.26,93.02,2.47,2.72,2.36,2.34,1.53,2.28,-3.84,0.0519,0.000144,Soluble,-4.33,0.017,4.71E-05,Moderately soluble,-4.3,0.0182,5.02E-05,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-6.57,0,0,0,0,0,0.55,0,2,1,4.07
FCCOc1ccc(cc1[C@H]1CCCN1c1ccn2c(n1)c(cn2)c1c[nH]nc1)F,1,-1,-1,410.42,30,20,0.29,6,6,1,111.01,71.34,2.52,3.13,4.08,3.17,3.34,3.25,-4.45,0.0144,3.52E-05,Moderately soluble,-4.3,0.0207,5.04E-05,Moderately soluble,-6.82,6.18E-05,1.51E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.58,0,0,0,0,0,0.55,0,0,1,3.62
