task,fragment,kind,adme_col,es,delta_median,cohens_d,logOR,n_present,n_absent,p,q
rat,FC:CCl,continuous,MLOGP,-0.029279017,0.665,0.533381955,,41,2702,6.86E-05,0.00013549
rat,FC:CCl,continuous,MR,-0.029279017,7.94,0.082227856,,41,2702,0.286854074,0.35176266
rat,FC:CCl,continuous,MW,-0.029279017,26.405,0.288158714,,41,2702,0.028502627,0.044337419
rat,FC:CCl,continuous,Silicos-IT Log P,-0.029279017,-0.165,-0.013329015,,41,2702,0.848575519,0.932001294
rat,FC:CCl,continuous,Silicos-IT LogSw,-0.029279017,-0.37,-0.368554326,,41,2702,0.01694979,0.027380429
rat,FC:CCl,continuous,Silicos-IT Solubility (mg/ml),-0.029279017,-1.84E-05,-0.029994944,,41,2702,0.018606666,0.029770665
rat,FC:CCl,continuous,Silicos-IT Solubility (mol/l),-0.029279017,-4.15E-08,-0.02980816,,41,2702,0.016854019,0.027380429
rat,FC:CCl,continuous,Synthetic Accessibility,-0.029279017,0.06,0.022017631,,41,2702,0.98890336,0.999207361
rat,FC:CCl,continuous,TPSA,-0.029279017,2.485,0.108527864,,41,2702,0.544852351,0.640106259
rat,FC:CCl,continuous,WLOGP,-0.029279017,0.46,0.225670656,,41,2702,0.026176479,0.041099518
rat,FC:CCl,continuous,XLOGP3,-0.029279017,0.12,-0.024276135,,41,2702,0.999207361,0.999207361
rat,FC:CCl,continuous,iLOGP,-0.029279017,-0.23,-0.23565604,,41,2702,0.060125814,0.086334502
rat,FC:CCl,continuous,log Kp (cm/s),-0.029279017,-0.08,-0.206769143,,41,2702,0.277472116,0.342759672
rat,C:CCl,continuous,#Heavy atoms,-0.025723837,0,0.029772402,,597,2146,0.904735934,0.961997702
rat,C:CCl,continuous,Ali Log S,-0.025723837,-0.81,-0.40270308,,597,2146,9.39E-21,4.93E-20
rat,C:CCl,continuous,Ali Solubility (mg/ml),-0.025723837,-0.003233,-0.025559333,,597,2146,4.34E-21,2.51E-20
rat,C:CCl,continuous,Ali Solubility (mol/l),-0.025723837,-8.33E-06,-0.025351126,,597,2146,9.27E-21,4.93E-20
rat,C:CCl,continuous,Consensus Log P,-0.025723837,0.55,0.415496545,,597,2146,1.40E-20,6.72E-20
rat,C:CCl,continuous,ESOL Log S,-0.025723837,-0.68,-0.48587995,,597,2146,3.37E-27,4.05E-26
rat,C:CCl,continuous,ESOL Solubility (mg/ml),-0.025723837,-0.00643,-0.040291509,,597,2146,5.81E-28,1.08E-26
rat,C:CCl,continuous,ESOL Solubility (mol/l),-0.025723837,-1.62E-05,-0.036852762,,597,2146,3.32E-27,4.05E-26
rat,C:CCl,continuous,MLOGP,-0.025723837,0.62,0.514584222,,597,2146,7.61E-28,1.28E-26
rat,C:CCl,continuous,MR,-0.025723837,0.325,0.082505254,,597,2146,0.271590573,0.337979379
rat,C:CCl,continuous,MW,-0.025723837,14.35,0.210266805,,597,2146,3.19E-05,6.46E-05
rat,C:CCl,continuous,Silicos-IT Log P,-0.025723837,0.54,0.337897645,,597,2146,5.07E-13,1.47E-12
rat,C:CCl,continuous,Silicos-IT LogSw,-0.025723837,-0.87,-0.463163191,,597,2146,2.06E-22,1.40E-21
rat,C:CCl,continuous,Silicos-IT Solubility (mg/ml),-0.025723837,-4.26E-05,-0.036965488,,597,2146,8.05E-23,6.15E-22
rat,C:CCl,continuous,Silicos-IT Solubility (mol/l),-0.025723837,-9.64E-08,-0.036672121,,597,2146,2.02E-22,1.40E-21
rat,C:CCl,continuous,Synthetic Accessibility,-0.025723837,-0.23,-0.201341618,,597,2146,1.13E-06,2.43E-06
rat,C:CCl,continuous,TPSA,-0.025723837,-0.19,-0.083798025,,597,2146,0.189554184,0.24125078
rat,C:CCl,continuous,WLOGP,-0.025723837,0.6,0.319367999,,597,2146,9.59E-15,3.43E-14
rat,C:CCl,continuous,XLOGP3,-0.025723837,0.75,0.44981186,,597,2146,2.20E-23,1.85E-22
rat,C:CCl,continuous,iLOGP,-0.025723837,0.05,0.119964254,,597,2146,0.036576996,0.054379959
rat,C:CCl,continuous,log Kp (cm/s),-0.025723837,0.38,0.340045436,,597,2146,1.45E-13,4.51E-13
rat,CCl,continuous,#Heavy atoms,-0.024975925,0,0.022380553,,604,2139,0.770757932,0.857532004
rat,CCl,continuous,Ali Log S,-0.024975925,-0.81,-0.39711751,,604,2139,1.33E-20,6.57E-20
rat,CCl,continuous,Ali Solubility (mg/ml),-0.024975925,-0.003258,-0.025641005,,604,2139,5.92E-21,3.31E-20
rat,CCl,continuous,Ali Solubility (mol/l),-0.024975925,-8.36E-06,-0.025432823,,604,2139,1.32E-20,6.57E-20
rat,CCl,continuous,Consensus Log P,-0.024975925,0.545,0.409450054,,604,2139,2.25E-20,1.05E-19
rat,CCl,continuous,ESOL Log S,-0.024975925,-0.665,-0.477966797,,604,2139,5.98E-27,5.91E-26
rat,CCl,continuous,ESOL Solubility (mg/ml),-0.024975925,-0.006495,-0.040148322,,604,2139,9.94E-28,1.52E-26
rat,CCl,continuous,ESOL Solubility (mol/l),-0.024975925,-1.61E-05,-0.036788205,,604,2139,5.90E-27,5.91E-26
rat,CCl,continuous,MLOGP,-0.024975925,0.61,0.508837778,,604,2139,1.77E-27,2.48E-26
rat,CCl,continuous,MR,-0.024975925,0.115,0.074057179,,604,2139,0.366827371,0.440192845
rat,CCl,continuous,MW,-0.024975925,13.905,0.203223207,,604,2139,5.54E-05,0.000110814
rat,CCl,continuous,Silicos-IT Log P,-0.024975925,0.505,0.332134683,,604,2139,1.15E-12,3.07E-12
rat,CCl,continuous,Silicos-IT LogSw,-0.024975925,-0.87,-0.455835523,,604,2139,5.50E-22,3.42E-21
rat,CCl,continuous,Silicos-IT Solubility (mg/ml),-0.024975925,-4.24E-05,-0.037093757,,604,2139,2.08E-22,1.40E-21
rat,CCl,continuous,Silicos-IT Solubility (mol/l),-0.024975925,-9.59E-08,-0.03680075,,604,2139,5.39E-22,3.42E-21
rat,CCl,continuous,Synthetic Accessibility,-0.024975925,-0.23,-0.209421134,,604,2139,3.44E-07,7.61E-07
rat,CCl,continuous,TPSA,-0.024975925,-0.17,-0.085524129,,604,2139,0.184575034,0.236706914
rat,CCl,continuous,WLOGP,-0.024975925,0.59,0.313808655,,604,2139,1.47E-14,5.14E-14
rat,CCl,continuous,XLOGP3,-0.024975925,0.75,0.444999038,,604,2139,2.48E-23,1.99E-22
rat,CCl,continuous,iLOGP,-0.024975925,0.05,0.116557157,,604,2139,0.041499519,0.061157186
rat,CCl,continuous,log Kp (cm/s),-0.024975925,0.38,0.339492221,,604,2139,1.26E-13,4.00E-13
rat,C:C:CS,continuous,#Heavy atoms,0.023353661,2,0.260778471,,365,2378,2.01E-12,5.11E-12
rat,C:C:CS,continuous,Ali Log S,0.023353661,-0.67,-0.294726408,,365,2378,1.10E-09,2.66E-09
rat,C:C:CS,continuous,Ali Solubility (mg/ml),0.023353661,-0.002289,-0.022333934,,365,2378,1.93E-08,4.33E-08
rat,C:C:CS,continuous,Ali Solubility (mol/l),0.023353661,-5.89E-06,-0.022405205,,365,2378,1.11E-09,2.66E-09
rat,C:C:CS,continuous,Consensus Log P,0.023353661,-0.17,-0.080325036,,365,2378,0.093199005,0.126269619
rat,C:C:CS,continuous,ESOL Log S,0.023353661,-0.2,-0.126262499,,365,2378,0.003492121,0.005975019
rat,C:C:CS,continuous,ESOL Solubility (mg/ml),0.023353661,-0.001805,-0.014861268,,365,2378,0.030495602,0.047002395
rat,C:C:CS,continuous,ESOL Solubility (mol/l),0.023353661,-5.71E-06,-0.020872344,,365,2378,0.003520993,0.005975019
rat,C:C:CS,continuous,MLOGP,0.023353661,-0.31,-0.123569617,,365,2378,0.005751434,0.009566742
rat,C:C:CS,continuous,MR,0.023353661,7.99,0.140928842,,365,2378,1.98E-06,4.16E-06
rat,C:C:CS,continuous,MW,0.023353661,64.585,0.467007316,,365,2378,1.05E-26,9.77E-26
rat,C:C:CS,continuous,Silicos-IT Log P,0.023353661,-0.88,-0.418409273,,365,2378,9.54E-14,3.08E-13
rat,C:C:CS,continuous,Silicos-IT LogSw,0.023353661,-0.055,-0.117967012,,365,2378,0.032735661,0.049212711
rat,C:C:CS,continuous,Silicos-IT Solubility (mg/ml),0.023353661,7.00E-07,-0.024661011,,365,2378,0.103306737,0.136735198
rat,C:C:CS,continuous,Silicos-IT Solubility (mol/l),0.023353661,-7.75E-09,-0.026745638,,365,2378,0.032808474,0.049212711
rat,C:C:CS,continuous,Synthetic Accessibility,0.023353661,0.28,0.135588077,,365,2378,1.69E-06,3.59E-06
rat,C:C:CS,continuous,TPSA,0.023353661,35.545,0.87970465,,365,2378,9.40E-53,5.27E-51
rat,C:C:CS,continuous,WLOGP,0.023353661,0.885,0.588205946,,365,2378,3.20E-21,1.92E-20
rat,C:C:CS,continuous,XLOGP3,0.023353661,-0.13,-0.120477049,,365,2378,0.089121289,0.121726639
rat,C:C:CS,continuous,iLOGP,0.023353661,-0.38,-0.540517276,,365,2378,8.53E-20,3.87E-19
rat,C:C:CS,continuous,log Kp (cm/s),0.023353661,-0.5,-0.420827269,,365,2378,4.64E-11,1.15E-10
rat,CBr,continuous,#Heavy atoms,-0.022342403,-2,-0.187663137,,73,2670,0.084179959,0.115919943
rat,CBr,continuous,Ali Log S,-0.022342403,-0.47,-0.218328857,,73,2670,0.104179198,0.136735198
rat,CBr,continuous,Ali Solubility (mg/ml),-0.022342403,-0.00153,-0.020525218,,73,2670,0.140218416,0.181205337
rat,CBr,continuous,Ali Solubility (mol/l),-0.022342403,-4.13E-06,-0.020367801,,73,2670,0.103448021,0.136735198
rat,CBr,continuous,Consensus Log P,-0.022342403,0.28,0.28166016,,73,2670,0.053304835,0.077871411
rat,CBr,continuous,ESOL Log S,-0.022342403,-0.555,-0.444214965,,73,2670,0.002003442,0.003542929
rat,CBr,continuous,ESOL Solubility (mg/ml),-0.022342403,-0.00401,-0.033187,,73,2670,0.003054849,0.005345985
rat,CBr,continuous,ESOL Solubility (mol/l),-0.022342403,-1.06E-05,-0.030451244,,73,2670,0.001989923,0.003542929
rat,CBr,continuous,MLOGP,-0.022342403,0.375,0.440811188,,73,2670,0.001498215,0.002706452
rat,CBr,continuous,MR,-0.022342403,-0.05,-0.018185026,,73,2670,0.965471014,0.983025033
rat,CBr,continuous,MW,-0.022342403,55.535,0.408785517,,73,2670,9.62E-05,0.000187973
rat,CBr,continuous,Silicos-IT Log P,-0.022342403,0.18,0.103424376,,73,2670,0.311260872,0.378926279
rat,CBr,continuous,Silicos-IT LogSw,-0.022342403,0.14,-0.116296118,,73,2670,0.857526951,0.932001294
rat,CBr,continuous,Silicos-IT Solubility (mg/ml),-0.022342403,1.66E-05,-0.030246473,,73,2670,0.996892623,0.999207361
rat,CBr,continuous,Silicos-IT Solubility (mol/l),-0.022342403,2.49E-08,-0.030098837,,73,2670,0.858056458,0.932001294
rat,CBr,continuous,Synthetic Accessibility,-0.022342403,-0.13,-0.087581868,,73,2670,0.469977563,0.556029793
rat,CBr,continuous,TPSA,-0.022342403,-5.06,-0.200626764,,73,2670,0.083738031,0.115919943
rat,CBr,continuous,WLOGP,-0.022342403,-0.02,0.167623674,,73,2670,0.247250913,0.309986219
rat,CBr,continuous,XLOGP3,-0.022342403,0.345,0.318408371,,73,2670,0.031780206,0.048537043
rat,CBr,continuous,iLOGP,-0.022342403,0.32,0.263373794,,73,2670,0.020383544,0.032305995
rat,CBr,continuous,log Kp (cm/s),-0.022342403,-0.03,0.081051362,,73,2670,0.861879971,0.932001294
rat,CF,binary,#Aromatic heavy atoms,-0.031722066,,,2.030170493,6,49,1,1
rat,CF,binary,#H-bond donors,-0.031722066,,,0.065741273,532,902,0.617514561,0.862190142
rat,CF,binary,#Rotatable bonds,-0.031722066,,,-0.202977882,18,46,1,1
rat,CF,binary,BBB permeant,-0.031722066,,,-0.52553762,980,1763,9.64E-09,1.02E-07
rat,CF,binary,Brenk #alerts,-0.031722066,,,-0.114497758,901,1593,0.323261188,0.593090775
rat,CF,binary,CYP1A2 inhibitor,-0.031722066,,,0.167500612,980,1763,0.046669954,0.150155505
rat,CF,binary,CYP2C19 inhibitor,-0.031722066,,,0.226491158,980,1763,0.005894959,0.023794198
rat,CF,binary,CYP2C9 inhibitor,-0.031722066,,,0.176032017,980,1763,0.031989734,0.111378129
rat,CF,binary,CYP2D6 inhibitor,-0.031722066,,,-0.238649244,980,1763,0.00324134,0.013838029
rat,CF,binary,CYP3A4 inhibitor,-0.031722066,,,-0.102808264,980,1763,0.243700364,0.469732535
rat,CF,binary,Egan #violations,-0.031722066,,,0.688011916,954,1738,1.69E-14,3.13E-13
rat,CF,binary,Fraction Csp3,-0.031722066,,,0.078471615,25,27,1,1
rat,CF,binary,GI absorption,-0.031722066,,,-0.679555768,980,1763,1.15E-14,2.31E-13
rat,CF,binary,Ghose #violations,-0.031722066,,,0.584614121,632,1207,5.74E-07,4.55E-06
rat,CF,binary,Leadlikeness #violations,-0.031722066,,,0.61773052,331,712,0.000148645,0.000804858
rat,CF,binary,Lipinski #violations,-0.031722066,,,0.523110487,870,1600,3.11E-08,3.13E-07
rat,CF,binary,Muegge #violations,-0.031722066,,,0.036221926,878,1622,0.730822088,0.927519728
rat,CF,binary,PAINS #alerts,-0.031722066,,,-0.502124298,976,1756,0.032079908,0.111378129
rat,CF,binary,Pgp substrate,-0.031722066,,,-0.051854959,980,1763,0.540892547,0.800520969
rat,CF,binary,Veber #violations,-0.031722066,,,-0.359435747,945,1684,0.003954394,0.016563689
rat,CC(C)C,binary,#Aromatic heavy atoms,0.03109076,,,-1.588160514,46,9,1,1
rat,CC(C)C,binary,#H-bond acceptors,0.03109076,,,1.609437912,27,17,0.386363636,0.670099432
rat,CC(C)C,binary,#H-bond donors,0.03109076,,,0.511582748,623,811,4.37E-05,0.000260815
rat,CC(C)C,binary,#Rotatable bonds,0.03109076,,,0.572663503,37,27,0.364561059,0.652681896
rat,CC(C)C,binary,BBB permeant,0.03109076,,,0.037410927,1180,1563,0.667685186,0.882881686
rat,CC(C)C,binary,Brenk #alerts,0.03109076,,,-0.126720088,1117,1377,0.243662708,0.469732535
rat,CC(C)C,binary,CYP1A2 inhibitor,0.03109076,,,-1.039598485,1180,1563,6.61E-36,3.67E-34
rat,CC(C)C,binary,CYP2C19 inhibitor,0.03109076,,,-0.80388943,1180,1563,2.27E-24,8.42E-23
rat,CC(C)C,binary,CYP2C9 inhibitor,0.03109076,,,-0.679753159,1180,1563,5.72E-18,1.27E-16
rat,CC(C)C,binary,CYP2D6 inhibitor,0.03109076,,,0.035713249,1180,1563,0.667766265,0.882881686
rat,CC(C)C,binary,CYP3A4 inhibitor,0.03109076,,,0.004326694,1180,1563,0.96668272,1
rat,CC(C)C,binary,Egan #violations,0.03109076,,,0.342152916,1141,1551,0.000106395,0.00059049
rat,CC(C)C,binary,Fraction Csp3,0.03109076,,,6.224558429,2,50,0.000754148,0.003739133
rat,CC(C)C,binary,GI absorption,0.03109076,,,-0.459276434,1180,1563,9.91E-08,8.80E-07
rat,CC(C)C,binary,Ghose #violations,0.03109076,,,-0.017292026,657,1182,0.906486454,1
rat,CC(C)C,binary,Leadlikeness #violations,0.03109076,,,0.929273432,389,654,5.26E-09,5.84E-08
rat,CC(C)C,binary,Lipinski #violations,0.03109076,,,0.879728733,1020,1450,2.66E-21,7.38E-20
rat,CC(C)C,binary,Muegge #violations,0.03109076,,,0.441279973,1003,1497,3.33E-06,2.47E-05
rat,CC(C)C,binary,PAINS #alerts,0.03109076,,,-1.624824332,1177,1555,7.92E-11,1.03E-09
rat,CC(C)C,binary,Pgp substrate,0.03109076,,,0.806603,1180,1563,1.31E-23,4.15E-22
rat,CC(C)C,binary,Veber #violations,0.03109076,,,0.492848254,1104,1525,2.00E-05,0.000134852
rat,C:CF,binary,#H-bond donors,-0.030351488,,,0.35247432,336,1098,0.018621833,0.068900783
rat,C:CF,binary,#Rotatable bonds,-0.030351488,,,-0.16034265,14,50,1,1
rat,C:CF,binary,BBB permeant,-0.030351488,,,-0.385078013,650,2093,0.000211126,0.001115953
rat,C:CF,binary,Brenk #alerts,-0.030351488,,,0.072246342,597,1897,0.578338245,0.838007702
rat,C:CF,binary,CYP1A2 inhibitor,-0.030351488,,,0.191756201,650,2093,0.03993616,0.132325784
rat,C:CF,binary,CYP2C19 inhibitor,-0.030351488,,,0.062455565,650,2093,0.523035669,0.781910948
rat,C:CF,binary,CYP2C9 inhibitor,-0.030351488,,,0.299407186,650,2093,0.001204687,0.005348809
rat,C:CF,binary,CYP2D6 inhibitor,-0.030351488,,,-0.046796328,650,2093,0.617387003,0.862190142
rat,C:CF,binary,CYP3A4 inhibitor,-0.030351488,,,0.04428678,650,2093,0.661606468,0.882881686
rat,C:CF,binary,Egan #violations,-0.030351488,,,0.274150951,637,2055,0.006674041,0.026457806
rat,C:CF,binary,Fraction Csp3,-0.030351488,,,-1.530966297,24,28,0.49321267,0.755125605
rat,C:CF,binary,GI absorption,-0.030351488,,,-0.165538049,650,2093,0.09662388,0.246557486
rat,C:CF,binary,Ghose #violations,-0.030351488,,,0.228641015,423,1416,0.082207838,0.231014431
rat,C:CF,binary,Leadlikeness #violations,-0.030351488,,,0.834271116,253,790,7.57E-06,5.42E-05
rat,C:CF,binary,Lipinski #violations,-0.030351488,,,0.357363646,576,1894,0.000757932,0.003739133
rat,C:CF,binary,Muegge #violations,-0.030351488,,,-0.272481826,585,1915,0.017172633,0.064615671
rat,C:CF,binary,PAINS #alerts,-0.030351488,,,-0.396543675,648,2084,0.147817894,0.33506809
rat,C:CF,binary,Pgp substrate,-0.030351488,,,0.154128047,650,2093,0.098238197,0.247828179
rat,C:CF,binary,Veber #violations,-0.030351488,,,-0.194444455,631,1998,0.177631247,0.385573373
rat,FC:CCl,binary,#H-bond donors,-0.029279017,,,-0.086354684,19,1415,1,1
rat,FC:CCl,binary,#Rotatable bonds,-0.029279017,,,0.310154928,2,62,1,1
rat,FC:CCl,binary,BBB permeant,-0.029279017,,,0.088260377,41,2702,0.861383792,1
rat,FC:CCl,binary,Brenk #alerts,-0.029279017,,,0.331116552,32,2462,0.484346015,0.746700107
rat,FC:CCl,binary,CYP1A2 inhibitor,-0.029279017,,,0.523852347,41,2702,0.10264772,0.255580381
rat,FC:CCl,binary,CYP2C19 inhibitor,-0.029279017,,,-0.2173939,41,2702,0.524796087,0.781910948
rat,FC:CCl,binary,CYP2C9 inhibitor,-0.029279017,,,0.085512304,41,2702,0.873410387,1
rat,FC:CCl,binary,CYP2D6 inhibitor,-0.029279017,,,-1.071142125,41,2702,0.001157828,0.005343118
rat,FC:CCl,binary,CYP3A4 inhibitor,-0.029279017,,,-0.483491465,41,2702,0.171022243,0.375910276
rat,FC:CCl,binary,Egan #violations,-0.029279017,,,0.144663914,41,2651,0.723867993,0.927519728
rat,FC:CCl,binary,Fraction Csp3,-0.029279017,,,0.503526321,5,47,1,1
rat,FC:CCl,binary,GI absorption,-0.029279017,,,-0.449532406,41,2702,0.21495617,0.433820635
rat,FC:CCl,binary,Ghose #violations,-0.029279017,,,-0.507631346,23,1816,0.446621761,0.713309575
rat,FC:CCl,binary,Leadlikeness #violations,-0.029279017,,,0.37380887,18,1025,0.585095467,0.838007702
